"","State","Year","enacted","incentives","tax_incentives","grant_incentives","other_incentives","regulations"
"152","WY",2007,0,1,1,0,0,0
"153","WY",2008,0,1,1,0,0,0
"154","WY",2009,0,1,1,0,0,0
"155","ME",2005,2,1,1,0,0,2
"156","ME",2006,0,1,1,0,0,2
"157","ME",2007,1,1,1,0,0,2
"158","ME",2008,0,1,1,0,0,2
"159","ME",2009,1,1,0,0,1,2
"160","SD",2012,2,2,1,1,0,4
"161","SD",2013,0,2,1,1,0,1
"162","SD",2014,0,2,1,1,0,0
"163","SD",2015,0,2,1,1,0,0
"164","SD",2016,0,2,1,1,0,0
"165","SD",2017,0,2,1,1,0,0
"166","SD",2018,0,2,1,1,0,0
"167","SD",2019,0,2,1,1,0,0
"168","SD",2020,0,2,1,1,0,0
"169","SD",2021,0,2,1,1,0,0
"170","SD",2022,0,2,1,1,0,0
"171","VA",2011,1,2,1,0,1,2
"172","VA",2012,1,2,1,0,1,3
"173","VA",2013,0,2,1,0,1,3
"174","VA",2014,0,2,1,0,1,1
"175","KY",2010,2,3,1,1,1,4
"176","KY",2011,1,3,1,1,1,5
"177","KY",2012,0,3,1,1,1,4
"178","KY",2013,1,3,1,1,1,5
"179","KY",2014,0,3,1,1,1,5
"180","AZ",2010,1,1,0,1,0,1
"181","AZ",2011,0,1,0,1,0,1
"182","AZ",2012,1,1,0,1,0,2
"183","AZ",2013,0,1,0,1,0,2
"184","AZ",2014,0,1,0,1,0,2
"185","AZ",2015,0,0,0,0,0,2
"186","AZ",2016,0,0,0,0,0,2
"187","AZ",2017,0,0,0,0,0,1
"188","AZ",2018,0,0,0,0,0,1
"189","AZ",2019,0,0,0,0,0,1
"190","AZ",2020,0,0,0,0,0,1
"191","AZ",2021,0,0,0,0,0,1
"192","MN",2015,4,3,1,2,0,4
"193","MN",2016,0,2,1,1,0,3
"194","MN",2017,0,2,1,1,0,3
"195","MN",2018,0,2,1,1,0,0
"196","MN",2019,2,3,0,2,1,0
"197","IN",2002,1,1,0,1,0,0
"198","IN",2003,0,1,0,1,0,0
"199","IN",2004,0,1,0,1,0,0
"200","IN",2005,0,1,0,1,0,0
"201","IN",2006,0,1,0,1,0,0
"202","DC",2002,2,2,0,1,1,0
"203","DC",2003,0,2,0,1,1,0
"204","DC",2004,0,2,0,1,1,0
"205","DC",2005,0,2,0,1,1,0
"206","DC",2006,0,1,0,0,1,0
"207","OK",2010,0,1,0,0,1,4
"208","OK",2011,0,1,0,0,1,3
"209","OK",2012,0,1,0,0,1,2
"210","OK",2002,1,0,0,0,0,1
"211","OK",2003,0,0,0,0,0,1
"212","OK",2004,0,0,0,0,0,1
"213","ND",2004,1,1,1,0,0,1
"214","ND",2005,0,1,1,0,0,1
"215","ND",2006,0,1,1,0,0,1
"216","ND",2007,0,1,1,0,0,1
"217","ND",2008,1,1,1,0,0,2
"218","MD",2002,1,1,0,1,0,1
"219","MD",2003,0,1,0,1,0,1
"220","MD",2004,1,1,0,1,0,2
"221","MD",2005,0,1,0,1,0,2
"222","MD",2001,1,0,0,0,0,1
"223","MD",2006,0,0,0,0,0,2
"224","MD",2007,0,0,0,0,0,2
"225","MD",2008,1,1,1,0,0,1
"226","MD",2009,0,1,1,0,0,1
"227","MD",2010,0,1,1,0,0,1
"228","IA",2017,1,2,2,0,0,0
"229","IA",2018,0,2,2,0,0,0
"230","IA",2019,0,2,2,0,0,0
"231","IA",2020,0,2,2,0,0,0
"232","IA",2021,0,2,2,0,0,0
"233","IA",2008,3,3,0,2,1,6
"234","IA",2009,1,3,0,1,2,5
"235","IA",2010,0,3,0,1,2,5
"236","IA",2011,0,3,0,1,2,5
"237","CO",2007,3,2,1,1,0,1
"238","CO",2008,1,2,1,1,0,2
"239","CO",2009,0,2,1,1,0,2
"240","CO",2010,0,2,1,1,0,2
"241","CO",2011,0,2,1,1,0,1
"242","MO",2013,1,2,1,0,1,0
"243","MO",2014,1,2,1,0,1,1
"244","MO",2015,0,2,1,0,1,1
"245","NV",2011,1,0,0,0,0,3
"246","NV",2012,0,0,0,0,0,3
"247","NV",2013,0,0,0,0,0,3
"248","NV",2014,0,0,0,0,0,3
"249","NV",2015,0,0,0,0,0,2
"250","NV",2009,2,0,0,0,0,2
"251","NV",2010,0,0,0,0,0,2
"252","NV",2016,0,0,0,0,0,1
"253","NV",2017,0,0,0,0,0,1
"254","NV",2018,0,0,0,0,0,1
"255","NV",2019,0,0,0,0,0,1
