"","state","year","e85","total","ratio_e85"
"612","Rhode Island","2018",0,263,0
"613","South Carolina","2018",66,706,9.34844192634561
"614","South Dakota","2018",77,181,42.5414364640884
"615","Tennessee","2018",78,1343,5.80789277736411
"616","Texas","2018",220,3968,5.54435483870968
"617","Utah","2018",2,662,0.302114803625378
"618","Vermont","2018",0,542,0
"619","Virginia","2018",47,1613,2.91382517048977
"620","Washington","2018",20,2741,0.729660707770887
"621","West Virginia","2018",33,260,12.6923076923077
"622","Wisconsin","2018",212,900,23.5555555555556
"623","Wyoming","2018",12,179,6.70391061452514
"624","Total","2018",3627,73475,4.93637291595781
"625","Alabama","2019",34,651,5.22273425499232
"626","Alaska","2019",0,40,0
"627","Arizona","2019",22,1690,1.30177514792899
"628","Arkansas","2019",47,394,11.9289340101523
"629","California","2019",195,28038,0.695484699336615
"630","Colorado","2019",84,2697,3.11457174638487
"631","Connecticut","2019",3,1093,0.274473924977127
"632","Delaware","2019",1,186,0.537634408602151
"633","District of Columbia","2019",3,566,0.530035335689046
"634","Florida","2019",88,4858,1.81144503911075
"635","Georgia","2019",52,3140,1.65605095541401
"636","Hawaii","2019",2,680,0.294117647058824
"637","Idaho","2019",4,261,1.53256704980843
"638","Illinois","2019",279,2306,12.0988725065048
"639","Indiana","2019",221,938,23.5607675906183
"640","Iowa","2019",300,704,42.6136363636364
"641","Kansas","2019",38,1002,3.79241516966068
"642","Kentucky","2019",71,433,16.3972286374134
"643","Louisiana","2019",14,392,3.57142857142857
"644","Maine","2019",1,452,0.221238938053097
"645","Maryland","2019",39,2204,1.76950998185118
"646","Massachusetts","2019",6,2521,0.238000793335978
"647","Michigan","2019",241,1802,13.3740288568257
"648","Minnesota","2019",430,1570,27.3885350318471
"649","Mississippi","2019",6,391,1.53452685421995
"650","Missouri","2019",111,2102,5.28068506184586
"651","Montana","2019",1,183,0.546448087431694
"652","Nebraska","2019",97,375,25.8666666666667
"653","Nevada","2019",12,976,1.22950819672131
"654","New Hampshire","2019",0,277,0
"655","New Jersey","2019",6,1351,0.444115470022206
"656","New Mexico","2019",14,336,4.16666666666667
"657","New York","2019",71,4765,1.4900314795383
"658","North Carolina","2019",89,2223,4.00359874044085
"659","North Dakota","2019",41,114,35.9649122807018
"660","Ohio","2019",180,1691,10.6445890005914
"661","Oklahoma","2019",56,617,9.07617504051864
"662","Oregon","2019",9,2024,0.444664031620553
"663","Pennsylvania","2019",125,1803,6.93288962839712
"664","Rhode Island","2019",0,420,0
"665","South Carolina","2019",53,803,6.60024906600249
"666","South Dakota","2019",83,233,35.6223175965665
"667","Tennessee","2019",73,1381,5.28602461984069
"668","Texas","2019",232,4847,4.78646585516815
"669","Utah","2019",2,1044,0.191570881226054
"670","Vermont","2019",0,670,0
"671","Virginia","2019",58,2238,2.59159964253798
"672","Washington","2019",20,3371,0.593295757935331
"673","West Virginia","2019",34,295,11.5254237288136
"674","Wisconsin","2019",227,1059,21.4353163361662
"675","Wyoming","2019",11,203,5.41871921182266
"676","Total","2019",3786,94410,4.01016841436288
"677","Alabama","2020",29,736,3.94021739130435
"678","Alaska","2020",0,49,0
"679","Arizona","2020",20,1989,1.00553041729512
"680","Arkansas","2020",50,455,10.989010989011
"681","California","2020",198,35527,0.557322599712894
"682","Colorado","2020",88,3417,2.5753585016096
"683","Connecticut","2020",3,1283,0.233826968043648
"684","Delaware","2020",1,220,0.454545454545455
"685","District of Columbia","2020",3,713,0.420757363253857
"686","Florida","2020",94,5794,1.62236796686227
"687","Georgia","2020",66,3861,1.70940170940171
"688","Hawaii","2020",2,773,0.258732212160414
"689","Idaho","2020",5,324,1.54320987654321
"690","Illinois","2020",284,2785,10.197486535009
"691","Indiana","2020",234,1112,21.0431654676259
"692","Iowa","2020",315,855,36.8421052631579
"693","Kansas","2020",56,1066,5.25328330206379
"694","Kentucky","2020",72,494,14.5748987854251
"695","Louisiana","2020",18,453,3.97350993377483
"696","Maine","2020",0,531,0
"697","Maryland","2020",43,2860,1.5034965034965
"698","Massachusetts","2020",7,3468,0.201845444059977
"699","Michigan","2020",236,1961,12.0346761856196
"700","Minnesota","2020",422,1852,22.7861771058315
"701","Mississippi","2020",5,437,1.1441647597254
"702","Missouri","2020",115,2269,5.06831203173204
"703","Montana","2020",1,230,0.434782608695652
"704","Nebraska","2020",88,419,21.0023866348449
"705","Nevada","2020",12,1206,0.995024875621891
"706","New Hampshire","2020",0,319,0
"707","New Jersey","2020",6,1702,0.352526439482961
"708","New Mexico","2020",14,457,3.06345733041575
"709","New York","2020",75,6301,1.19028725599111
"710","North Carolina","2020",96,2597,3.69657296881017
"711","North Dakota","2020",38,165,23.030303030303
"712","Ohio","2020",193,2178,8.8613406795225
"713","Oklahoma","2020",69,1004,6.87250996015936
"714","Oregon","2020",4,2227,0.17961383026493
"715","Pennsylvania","2020",143,2378,6.013456686291
"716","Rhode Island","2020",0,562,0
"717","South Carolina","2020",49,878,5.58086560364465
"718","South Dakota","2020",80,236,33.8983050847458
"719","Tennessee","2020",89,1525,5.83606557377049
"720","Texas","2020",241,5624,4.28520625889047
"721","Utah","2020",2,1710,0.116959064327485
"722","Vermont","2020",0,803,0
"723","Virginia","2020",61,2683,2.27357435706299
"724","Washington","2020",16,3932,0.406917599186165
"725","West Virginia","2020",37,311,11.8971061093248
"726","Wisconsin","2020",256,1202,21.2978369384359
"727","Wyoming","2020",10,213,4.69483568075117
"728","Total","2020",3946,116146,3.39744803953645
"729","Alabama","2021",33,823,4.0097205346294
"730","Alaska","2021",0,97,0
"731","Arizona","2021",19,2457,0.773300773300773
"732","Arkansas","2021",70,590,11.864406779661
"733","California","2021",264,42193,0.625696205531723
"734","Colorado","2021",96,4163,2.30602930578909
"735","Connecticut","2021",3,1472,0.203804347826087
"736","Delaware","2021",1,327,0.305810397553517
"737","District of Columbia","2021",4,842,0.475059382422803
"738","Florida","2021",111,7039,1.57692854098594
"739","Georgia","2021",67,4142,1.61757605021729
"740","Hawaii","2021",1,845,0.118343195266272
"741","Idaho","2021",5,385,1.2987012987013
"742","Illinois","2021",304,3211,9.46745562130178
"743","Indiana","2021",247,1282,19.2667706708268
"744","Iowa","2021",342,983,34.7914547304171
"745","Kansas","2021",63,1143,5.51181102362205
"746","Kentucky","2021",75,635,11.8110236220472
"747","Louisiana","2021",22,482,4.5643153526971
"748","Maine","2021",0,640,0
"749","Maryland","2021",46,3537,1.30053717839977
"750","Massachusetts","2021",6,4930,0.121703853955375
"751","Michigan","2021",245,2200,11.1363636363636
"752","Minnesota","2021",454,2073,21.9006271104679
"753","Mississippi","2021",4,520,0.769230769230769
"754","Missouri","2021",132,2417,5.46131568059578
"755","Montana","2021",2,243,0.823045267489712
"756","Nebraska","2021",120,537,22.3463687150838
"757","Nevada","2021",12,1395,0.860215053763441
"758","New Hampshire","2021",0,375,0
"759","New Jersey","2021",6,2060,0.29126213592233
"760","New Mexico","2021",18,543,3.31491712707182
"761","New York","2021",79,7834,1.00842481490937
"762","North Carolina","2021",100,3102,3.22372662798195
"763","North Dakota","2021",49,210,23.3333333333333
"764","Ohio","2021",213,2558,8.3268178264269
"765","Oklahoma","2021",88,1411,6.23671155209072
"766","Oregon","2021",4,2541,0.157418339236521
"767","Pennsylvania","2021",146,2993,4.8780487804878
"768","Rhode Island","2021",0,637,0
"769","South Carolina","2021",46,999,4.6046046046046
"770","South Dakota","2021",83,260,31.9230769230769
"771","Tennessee","2021",95,1830,5.19125683060109
"772","Texas","2021",269,6278,4.28480407773176
"773","Utah","2021",1,2059,0.0485672656629432
"774","Vermont","2021",0,877,0
"775","Virginia","2021",64,3482,1.83802412406663
"776","Washington","2021",14,4471,0.31312905390293
"777","West Virginia","2021",38,365,10.4109589041096
"778","Wisconsin","2021",261,1310,19.9236641221374
"779","Wyoming","2021",9,222,4.05405405405405
"780","Total","2021",4331,138020,3.13795102159107
"781","Alabama","2022",31,983,3.15361139369278
"782","Alaska","2022",0,118,0
"783","Arizona","2022",17,2829,0.600919052668788
"784","Arkansas","2022",74,735,10.0680272108844
"785","California","2022",326,44987,0.724653788872341
"786","Colorado","2022",95,4589,2.0701677925474
"787","Connecticut","2022",3,1673,0.17931858936043
"788","Delaware","2022",2,391,0.51150895140665
"789","District of Columbia","2022",4,992,0.403225806451613
"790","Florida","2022",143,8130,1.75891758917589
"791","Georgia","2022",58,4308,1.34633240482823
"792","Hawaii","2022",1,955,0.104712041884817
"793","Idaho","2022",4,419,0.954653937947494
"794","Illinois","2022",293,3842,7.62623633524206
"795","Indiana","2022",240,1411,17.0092133238838
"796","Iowa","2022",346,1320,26.2121212121212
"797","Kansas","2022",73,1187,6.14995787700084
"798","Kentucky","2022",73,717,10.1813110181311
"799","Louisiana","2022",18,563,3.19715808170515
"800","Maine","2022",1,877,0.114025085518814
"801","Maryland","2022",55,4056,1.3560157790927
"802","Massachusetts","2022",6,5817,0.103145951521403
"803","Michigan","2022",228,3037,7.50740862693448
"804","Minnesota","2022",437,2267,19.2765769739744
"805","Mississippi","2022",5,524,0.954198473282443
"806","Missouri","2022",136,2437,5.58063192449733
"807","Montana","2022",2,284,0.704225352112676
"808","Nebraska","2022",126,631,19.9683042789223
"809","Nevada","2022",19,1711,1.1104617182934
"810","New Hampshire","2022",0,490,0
"811","New Jersey","2022",6,2744,0.21865889212828
"812","New Mexico","2022",17,599,2.83806343906511
"813","New York","2022",79,9730,0.811921891058582
"814","North Carolina","2022",107,3353,3.19117208470027
"815","North Dakota","2022",42,235,17.8723404255319
"816","Ohio","2022",209,3139,6.65817139216311
"817","Oklahoma","2022",95,1428,6.65266106442577
"818","Oregon","2022",5,2572,0.194401244167963
"819","Pennsylvania","2022",172,3594,4.78575403450195
"820","Rhode Island","2022",0,781,0
"821","South Carolina","2022",60,1137,5.27704485488127
"822","South Dakota","2022",81,275,29.4545454545455
"823","Tennessee","2022",92,1848,4.97835497835498
"824","Texas","2022",257,7047,3.64694196111821
"825","Utah","2022",1,1938,0.0515995872033024
"826","Vermont","2022",0,901,0
"827","Virginia","2022",72,3839,1.8754884084397
"828","Washington","2022",12,4654,0.257842715943275
"829","West Virginia","2022",38,444,8.55855855855856
"830","Wisconsin","2022",257,1461,17.5906913073237
"831","Wyoming","2022",8,246,3.2520325203252
"832","Total","2022",4426,154245,2.86946092255827
