"","state","year","e85","total","ratio_e85"
"145","South Carolina","2009",87,142,61.2676056338028
"146","South Dakota","2009",78,96,81.25
"147","Tennessee","2009",29,114,25.4385964912281
"148","Texas","2009",41,629,6.51828298887122
"149","Utah","2009",5,92,5.43478260869565
"150","Vermont","2009",0,10,0
"151","Virginia","2009",9,79,11.3924050632911
"152","Washington","2009",15,144,10.4166666666667
"153","West Virginia","2009",3,13,23.0769230769231
"154","Wisconsin","2009",127,191,66.4921465968586
"155","Wyoming","2009",6,51,11.7647058823529
"156","Total","2009",1982,6449,30.7334470460537
"157","Alabama","2010",15,153,9.80392156862745
"158","Alaska","2010",0,11,0
"159","Arizona","2010",32,157,20.3821656050955
"160","Arkansas","2010",13,75,17.3333333333333
"161","California","2010",54,1011,5.34124629080119
"162","Colorado","2010",86,179,48.0446927374302
"163","Connecticut","2010",1,37,2.7027027027027
"164","Delaware","2010",1,8,12.5
"165","District of Columbia","2010",3,8,37.5
"166","Florida","2010",42,154,27.2727272727273
"167","Georgia","2010",41,133,30.8270676691729
"168","Hawaii","2010",1,17,5.88235294117647
"169","Idaho","2010",7,58,12.0689655172414
"170","Illinois","2010",219,341,64.2228739002933
"171","Indiana","2010",138,202,68.3168316831683
"172","Iowa","2010",144,173,83.2369942196532
"173","Kansas","2010",39,84,46.4285714285714
"174","Kentucky","2010",21,67,31.3432835820896
"175","Louisiana","2010",5,29,17.2413793103448
"176","Maine","2010",0,9,0
"177","Maryland","2010",19,57,33.3333333333333
"178","Massachusetts","2010",3,57,5.26315789473684
"179","Michigan","2010",109,221,49.3212669683258
"180","Minnesota","2010",360,396,90.9090909090909
"181","Mississippi","2010",3,50,6
"182","Missouri","2010",103,193,53.3678756476684
"183","Montana","2010",2,64,3.125
"184","Nebraska","2010",58,79,73.4177215189873
"185","Nevada","2010",26,89,29.2134831460674
"186","New Hampshire","2010",0,25,0
"187","New Jersey","2010",4,42,9.52380952380952
"188","New Mexico","2010",11,82,13.4146341463415
"189","New York","2010",75,238,31.5126050420168
"190","North Carolina","2010",20,254,7.8740157480315
"191","North Dakota","2010",55,85,64.7058823529412
"192","Ohio","2010",67,169,39.6449704142012
"193","Oklahoma","2010",13,126,10.3174603174603
"194","Oregon","2010",8,112,7.14285714285714
"195","Pennsylvania","2010",37,140,26.4285714285714
"196","Rhode Island","2010",0,13,0
"197","South Carolina","2010",101,165,61.2121212121212
"198","South Dakota","2010",101,121,83.4710743801653
"199","Tennessee","2010",39,170,22.9411764705882
"200","Texas","2010",48,646,7.43034055727554
"201","Utah","2010",5,109,4.58715596330275
"202","Vermont","2010",0,13,0
"203","Virginia","2010",11,78,14.1025641025641
"204","Washington","2010",15,142,10.5633802816901
"205","West Virginia","2010",3,14,21.4285714285714
"206","Wisconsin","2010",132,203,65.0246305418719
"207","Wyoming","2010",6,52,11.5384615384615
"208","Total","2010",2296,7111,32.2880045000703
"209","Alabama","2011",20,148,13.5135135135135
"210","Alaska","2011",0,9,0
"211","Arizona","2011",33,189,17.4603174603175
"212","Arkansas","2011",20,91,21.978021978022
"213","California","2011",58,2006,2.8913260219342
