"","state","year","e85","total_stations"
"207","Wyoming","2010",6,52
"208","Total","2010",2296,7111
"209","Alabama","2011",0,9
"210","Alaska","2011",20,148
"211","Arizona","2011",20,91
"212","Arkansas","2011",33,189
"213","California","2011",58,2006
"214","Colorado","2011",83,213
"215","Connecticut","2011",0,75
"216","Delaware","2011",1,6
"217","District of Columbia","2011",3,58
"218","Florida","2011",62,520
"219","Georgia","2011",51,194
"220","Hawaii","2011",1,73
"221","Idaho","2011",167,215
"222","Illinois","2011",9,74
"223","Indiana","2011",218,491
"224","Iowa","2011",153,227
"225","Kansas","2011",40,101
"226","Kentucky","2011",29,75
"227","Louisiana","2011",2,47
"228","Maine","2011",4,113
"229","Maryland","2011",23,220
"230","Massachusetts","2011",0,11
"231","Michigan","2011",122,578
"232","Minnesota","2011",364,476
"233","Mississippi","2011",106,224
"234","Missouri","2011",2,51
"235","Montana","2011",1,55
"236","Nebraska","2011",29,409
"237","Nevada","2011",74,97
"238","New Hampshire","2011",68,92
"239","New Jersey","2011",0,36
"240","New Mexico","2011",4,110
"241","New York","2011",9,81
"242","North Carolina","2011",23,109
"243","North Dakota","2011",82,480
"244","Ohio","2011",84,223
"245","Oklahoma","2011",15,140
"246","Oregon","2011",9,392
"247","Pennsylvania","2011",35,176
"248","Rhode Island","2011",0,18
"249","South Carolina","2011",100,246
"250","South Dakota","2011",102,120
"251","Tennessee","2011",44,294
"252","Texas","2011",58,992
"253","Utah","2011",4,124
"254","Vermont","2011",15,185
"255","Virginia","2011",0,18
"256","Washington","2011",19,571
"257","West Virginia","2011",140,267
"258","Wisconsin","2011",3,20
"259","Wyoming","2011",5,48
"260","Total","2011",2494,11788
"261","Alabama","2012",0,12
"262","Alaska","2012",28,198
"263","Arizona","2012",33,122
"264","Arkansas","2012",32,682
"265","California","2012",71,4261
"266","Colorado","2012",84,407
"267","Connecticut","2012",1,187
"268","Delaware","2012",1,20
"269","District of Columbia","2012",3,112
"270","Florida","2012",51,1024
"271","Georgia","2012",59,347
"272","Hawaii","2012",3,333
"273","Idaho","2012",188,289
"274","Illinois","2012",9,62
"275","Indiana","2012",206,821
"276","Iowa","2012",157,527
"277","Kansas","2012",32,148
"278","Kentucky","2012",35,121
"279","Louisiana","2012",4,107
"280","Maine","2012",8,469
"281","Maryland","2012",22,464
"282","Massachusetts","2012",1,36
"283","Michigan","2012",129,896
"284","Minnesota","2012",360,564
"285","Mississippi","2012",110,310
"286","Missouri","2012",1,182
"287","Montana","2012",3,54
"288","Nebraska","2012",30,726
"289","Nevada","2012",79,106
"290","New Hampshire","2012",77,118
"291","New Jersey","2012",0,59
"292","New Mexico","2012",5,235
"293","New York","2012",14,112
"294","North Carolina","2012",19,128
"295","North Dakota","2012",84,780
"296","Ohio","2012",88,355
"297","Oklahoma","2012",27,203
"298","Oregon","2012",8,855
"299","Pennsylvania","2012",32,368
"300","Rhode Island","2012",0,55
"301","South Carolina","2012",84,370
"302","South Dakota","2012",100,128
"303","Tennessee","2012",43,908
"304","Texas","2012",80,1940
"305","Utah","2012",4,191
"306","Vermont","2012",18,408
"307","Virginia","2012",1,37
"308","Washington","2012",20,1221
"309","West Virginia","2012",126,398
"310","Wisconsin","2012",4,52
"311","Wyoming","2012",9,53
"312","Total","2012",2583,22561
"313","Alabama","2013",0,10
"314","Alaska","2013",29,225
"315","Arizona","2013",30,120
"316","Arkansas","2013",31,921
"317","California","2013",88,5903
"318","Colorado","2013",85,449
"319","Connecticut","2013",1,254
"320","Delaware","2013",1,27
"321","District of Columbia","2013",3,74
"322","Florida","2013",54,1165
"323","Georgia","2013",61,539
"324","Hawaii","2013",3,370
"325","Idaho","2013",186,305
"326","Illinois","2013",9,66
"327","Indiana","2013",218,899
"328","Iowa","2013",169,554
"329","Kansas","2013",28,186
"330","Kentucky","2013",55,155
"331","Louisiana","2013",4,114
"332","Maine","2013",8,607
"333","Maryland","2013",25,613
"334","Massachusetts","2013",1,41
"335","Michigan","2013",163,999
"336","Minnesota","2013",336,626
"337","Mississippi","2013",106,333
"338","Missouri","2013",1,172
"339","Montana","2013",4,59
"340","Nebraska","2013",22,814
"341","Nevada","2013",58,84
"342","New Hampshire","2013",75,137
"343","New Jersey","2013",0,58
"344","New Mexico","2013",5,268
"345","New York","2013",13,110
"346","North Carolina","2013",20,182
"347","North Dakota","2013",81,995
"348","Ohio","2013",97,385
"349","Oklahoma","2013",27,307
"350","Oregon","2013",8,995
"351","Pennsylvania","2013",33,429
"352","Rhode Island","2013",1,163
"353","South Carolina","2013",82,417
"354","South Dakota","2013",87,119
